name,en_name,size,kcal,sodium,sat_fat,sugar,protein,caffeine,allergy,image,desc_top,desc_bottom
콜드 폼 콜드 브루,Cold Foam Cold Brew,Tall(톨) / 355ml (12 fl oz),105,175,0,20,5,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9200000000949]_20180410163003598.jpg,부드럽고 쫀득하며 달콤한 콜드 폼을 즐기고 콜드 브루를 같이 마시면 더욱 부드러운 목넘김을 즐길 수 있는 음료 입니다.,아인슈페너/비엔나 커피를 연상시키는 콜드 폼은 무지방 우유로 즉석에서 만들어 제공하므로 신선하며 맛있습니다.
아이스 커피,Iced Coffee,Tall(톨) / 355ml (12 fl oz),5,10,0,0,0,140,,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[106509]_20150724164325877.jpg,깔끔하고 상큼함이 특징인 시원한 아이스 커피,"케냐, 하우스 블렌드 등 약간의 산미가 있는 커피를 드립 방식으로 추출한 후 얼음과 함께 제공하는 커피 입니다. 아이스 커피로 적합한 프리미엄 원두를 이용하여 깔끔하고 상큼한 맛을 느끼실 수 있습니다."
오늘의 커피,Brewed Coffee,Tall(톨) / 355ml (12 fl oz),5,10,0,0,0,260,,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[2]_20150724164439044.jpg,신선하게 브루드(Brewed)되어 원두의 다양함이 살아있는 커피,매주 일주일 간격으로 하나의 원두 종류를 선정하여 신선하게 브루드(Brewed)되어 제공되는 드립커피로 원두 커피의 풍부한 맛과 향을 따뜻하게 즐기실 수 있습니다.
에스프레소 콘 파나,Espresso Con Panna,Solo(솔로) / 22ml (0.75 fl oz),30,0,1.5,1,0,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[30]_20150813221811147.jpg,에스프레소 샷에 풍부한 휘핑크림을 얹은 강렬하고 달콤한 음료,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 동시에 즐기실 수 있습니다."
에스프레소 마키아또,Espresso Macchiato,Solo(솔로) / 22ml (0.75 fl oz),10,0,0,0,1,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[25]_20150813221101602.jpg,강렬한 에스프레소 위에 소량의 우유 거품이 얹어진 음료,"신선한 에스프레소 샷에 우유 거품을 살짝 얹은 커피 음료로써, 강렬한 에스프레소의 맛과 우유의 부드러움을 같이 느끼실 수 있습니다."
아이스 카페 아메리카노,Iced Caffe Americano,Tall(톨) / 355ml (12 fl oz),10,5,0,0,1,150,,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110563]_20150813222100303.jpg,강렬한 에스프레소 샷에 시원한 물의 조화,풍부하고 진한 농도의 에스프레소에 시원한 정수물을 더하여 스타벅스의 깔끔하고 강렬한 에스프레소를 부드럽지만 시원하게 즐기실 수 있는 커피입니다.
카페 아메리카노,Caffe Americano,Tall(톨) / 355ml (12 fl oz),10,5,0,0,1,150,,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[94]_20150813222021880.jpg,강렬한 에스프레소 샷에 뜨거운 물의 조화,"유럽풍의 커피를 미국 스타일로 접목시킨 커피로써, 진한 농도의 에스프레소와 더운물을 혼합하여, 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피입니다."
블론드 카라멜 클라우드 마키아또,Blonde Caramel Cloud Macchiato,Tall(톨) / 355ml (12 fl oz),250,310,3.7,36,10,170,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002585]_20191111140325191.jpg,"블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요!","블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요!"
블론드 코코아 클라우드 마키아또,Blonde Cocoa Cloud Macchiato,Tall(톨) / 355ml (12 fl oz),255,340,3.6,38,10,170,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002589]_20191111140503012.jpg,"블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!","블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!"
아이스 블론드 카라멜 클라우드 마키아또,Iced Blonde Caramel Cloud Macchiato,Tall(톨) / 355ml (12 fl oz),215,280,2.5,33,8,170,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002587]_20191111140424942.jpg,"블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요!","블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요!"
아이스 블론드 코코아 클라우드 마키아또,Iced Blonde Cocoa Cloud Macchiato,Tall(톨) / 355ml (12 fl oz),220,310,2.4,35,8,170,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002591]_20191111140547113.jpg,"블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!","블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!"
아이스 카라멜 마키아또,Iced Caramel Macchiato,Tall(톨) / 355ml (12 fl oz),190,110,4.6,21,6,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110582]_20150803101947416.jpg,"바닐라 시럽, 시원한 우유에 얼음과 에스프레소 샷, 카라멜 드리즐이 어우러진 음료",향긋한 바닐라 시럽과 시원한 우유에 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집모양으로 카라멜 소스를 뿌려 장식한 음료로 가장 아름다운 커피 음료 중 하나입니다.
카라멜 마키아또,Caramel Macchiato,Tall(톨) / 355ml (12 fl oz),200,130,5,22,8,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[126197]_20150813215717246.jpg,"바닐라 시럽과 우유, 그리고 그 위에 얹어진 에스프레소 샷과 달콤한 카라멜 드리즐의 조화",향긋한 바닐라 시럽과 따뜻한 스팀밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집모양으로 카라멜 소스를 뿌려 장식한 달콤한 커피 음료입니다.
아이스 카푸치노,Iced Cappuccino,Tall(톨) / 355ml (12 fl oz),115,90,3.5,9,6,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110601]_20150803101742023.jpg,에스프레소 샷과 시원한 우유에 부드러운 우유 거품이 얹어진 시원한 음료.,풍부하고 진한 농도의 에스프레소에 시원한 우유를 더하여 우유의 고소함과 에스프레소의 강렬함에 벨벳같은 우유 거품이 더해져 부드러운 커피 입니다.
카푸치노,Cappuccino,Tall(톨) / 355ml (12 fl oz),110,70,3,8,6,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[38]_20150821164230299.jpg,벨벳같은 우유 거품과 에스프레소 샷의 절묘한 조화!,풍부하고 진한 농도의 에스프레소에 따뜻한 우유와 벨벳같은 우유 거품이 1:1 비율로 어우러저 마무리된 대표적인 에스프레소 음료 입니다.
라벤더 카페 브레베,Lavender Cafe Breve,Tall(톨) / 355ml (12 fl oz),406,140,22,30,7,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2016/12/[9200000000432]_20161213140957559.jpg,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다.","[더종로R,청담스타R,한강진역R,홍대입구역사거리R, 이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다. 보라색 라벤더꽃이 화려하게 장식된 부드럽고 세련된 풍미의 라벤더 카페 브레베를 만나보세요!"
럼 샷 코르타도,Rum Shot Cortado,Short(숏) / 237ml (8 fl oz),70,45,1.8,8,3,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2017/12/[9200000001086]_20171218135157850.jpg,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 최고의 리저브 에스프레소 샷, 스팀 밀크 그리고 럼이 짙게 어우러진 스타벅스 리저브 만의 코르타도입니다.","[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 최고의 리저브 에스프레소 샷, 스팀 밀크 그리고 럼이 짙게 어우러진 스타벅스 리저브 만의 코르타도입니다."
스타벅스 돌체 라떼,Starbucks Dolce Latte,Tall(톨) / 355ml (12 fl oz),255,190,2.5,39,12,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[128692]_20150723020548416.jpg,깊은 에스프레소와 깔끔한 무지방 우유가 어우러진 달콤한 음료.,스타벅스의 다른 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 외관이 아름다운 층을 이루고 있는 스타벅스의 클래식 라떼 입니다.
